titulo,nota,texto
"PAIS DE PLAYBOYS",68,"A impunidade de jovens ricos no BrasilA impunidade no Brasil é algo longevo, advinda de um histórico social e racial. Uma vez que, uma parcela da população, preta e pobre, após a abolição da escravidão, foi marginalizada por uma sociedade elitista. É possível afirmar que, devido à falta de oportunidade e negligência do estado, a mesma está vulnerável a esteriotipação de infratores determinada pela sociedade. Por outro lado, a realidade é diferente. Cidadãos que detém de privilégios como, acesso a boa educação, ensino superior, consequentemente, alcançam uma renda maior. Em casos de delito, são capazes de obter defesa judicial, ou até mesmo prática de suborno.Ademais, na grande maioria das vezes, tais delitos são cometidos por jovens, nos quais são acobertados pelos pais. A falta de disciplina e o excesso de liberdade dado pelos mesmos, constroem pessoas inconsequentes e incapazes de se responsabilizarem. Que os levam a acreditarem que o fato de possuírem capital, isentá-los de quaisquer obrigações e deveres.Em virtude dos fatos mencionados, em relação ao suborno, uma medida que solucionaria esse impasse, seria um melhor treinamento dos oficiais da polícia, além de maior inspeção dos mesmos, não aceitarem esse tipo de abordagem. Não só a questão da corrupção do sistema, mas como também a forma de educação dos pais dos denominados ""playboys"" influencia para toda essa impunidade. Apesar de não depender de ninguém além dos próprios pais, a conscientização da educação do filho é de total relevância."
"ATENÇÃO NECESSÁRIA",64,"Acidentes ou negligênciação?No cotidiano humano, a ocorrência de desastres tanto de origem natural quanto antrópica é um fato banal. O desastre de Mariana (2015) é, nesse sentido, uma pequena parcela do estrondoso iceberg de negligências que ao invés de servir de alerta, parece caído no esquecimento.  Podemos citar também o Golfo do México que causa sucessivos vazamentos de petróleo no litoral carioca. A imensa massa de tragédias de caráter similar que ocorrem e se acumulam durante os anos nada mais faz do que afirmar o desmazelo do homem. A tragédia de Mariana é, mais uma vez, fruto dessa sina. As mentes por trás desse desastre, assim de como grande parte de ocorrências do tipo, são corporações que sonegam suas ações desprovidas de planejamento ambiental e social, através da propaganda e até, quem sabe, dos benefícios temporários: emprego, dinheiro... Ter os pés no chão para prevenir o pior é uma qualidade que está em escassez no mundo. Concomitantemente, a propagação de um sistema de educação baseado na ética e na consciência e respeito para com a Terra é fundamental. Com isso, quem sabe, deixaremos de negligenciar o passado e enfim aprender com os nossos erros."
"CONSCIÊNCIA ECOLÓGICA",72,"            Pequenas ações grandes impactos    Vivenciamos um cenário atual que a falta de consciência ecológica agrava cada vez mais a saúde do planeta, necessitando uma atenção  maior por parte dos indivíduos para que contribuem com a preservação dos ambientes por meio de ações ecológicas.   Em primeiro lugar vale ressaltar que para atingir um planeta cada vez mais limpo é necessário a ação de todos. Em uma entrevista dada pelo cantor Carlinhos Brown para revista veja em relação á seus figurinos com conceitos ecológicos, ele ressalta que não é só o governo que é responsável pela preservação do planeta.  Isso enfatiza que ações simples como não jogar lixos em praias, ruas, rios, entre outros, geram grandes impacto para preservação dos meios ambiente.   Vemos sendo notíciado na mídia que a falta de consciência ambiental e o grande acúmulo de lixo em locais públicos ou até mesmo privados ocasiona diversas consequências como a poluição do ar ,dos rios, que prejudicam a nossa qualidade de vida.   Em virtude disso, faz com que repensamos sobre a quantidade de lixo que descartamos em locais inapropriados, sem saber os problemas sócios ambientais que geramos. Mostra-se que com isso devemos mudar nossos hábitos e refletir todas as nossas ações em relação ao meio ambiente, buscando sempre cada vez mais mandei o ambiente  limpo e ampliar a cultura da preservação."
"Dinheiro ",72," Dinheiro, o degradante social Segundo Nelson Mandela, ''O dinheiro não vai gerar o sucesso, a liberdade para gerá-lo o fará.''. A partir dessa máxima, contextualiza-se imprescindível analisar as causas e consequências do dinheiros em nossas vidas, visando lidar com essa nefasta realidade capaz de definir nós seres humanos pelo fato de muitos terem boas condições financeiras e outros não.  Deve-se pontuar, de início que sim, ter boas condições financeiras, ''facilita as coisas'', mas muitas pessoas não sabem lidar com esse excesso, podendo implicar a perda de outros valores que não tem preço material e esse séria o principal problema.   Outro ponto relevante, nessa temática, é o fato de que muitos tem tão pouco, e tentam manter a esperança de que um dia possam melhorar de vida, muitas das vezes, deixando de se alimentar para alimentar seus filhos, de nunca reclamar para que seus filhos não sintam culpa pela atual situação de sua família.  Concluo assim que, os fragmentos do dinheiro muda a nossa realidade, e devemos aprender a lidar de acordo com nossa realidade financeira e buscar sempre melhora e nunca esquecer os nossos reais valores humanos. E buscando sempre uma realidade melhor. "
"Dificuldade dos imigrantes ",56,"Estamos de passagem pelo mundo e somos obrigados a tomar decisões que serão decisivas na nossa trajetória. Existem duas decisões nesse momento da vida, ficar em um país que não te trará futuro e te obrigará a resistir a crueldades ou tentar uma vida nova, largar seu passado de vez e recomeçar em um lugar que você não imagina o que pode acontecer. Assim, milhares de pessoas precisam passar por essa escolha e ir em busca de novos ideais, colocando suas vidas em risco, deixando familiares, amores e sonhos... A vida nos impõe decisões que não queremos e nos obriga a ser fortes para manter a dignidade e construir um futuro digno. A maioria quando estão indo embora do país, vão de maneira precária, sofrem violência, fome, maus tratos e deixam sequelas pela vida inteira. Em suma, muitos homens, mulheres, crianças, idosos, são obrigados a largar seu país de origem e ir em busca de uma vida melhor, pois seu país de origem não proporciona condições de vida digna e vão para outros países em busca de sobrevivência e deixando para trás a sua história e tentando recomeçar uma nova sorte."
INGENUIDADE,0,
"BRASILEIRO TRANSGRESSOR",60,"   A irresponsabilidade custa uma vida O alcoolismo faz parte da vida de milhões de pessoas,e esse vício vem passando pra gerações futuras. Com ele se tem vários danos causados, desde psicológicos há perca de uma vida.           Muitos embriagados entram em seus carros e esquecem das vidas que existem ao seu redor. Aceleram tanto sem nem pensar nas consequências das leis,que nem sempre são correspondida como deveria,em especial no Brasil.                                         Com isso a prática de alta velocidade contínua sempre estará presente nos jornais e na vida de pessoas que por alguma perda familiar ou traumática viveu um momento de pura irresponsabilidade e incompetência do autor que comete atos como este.             Se todas leis fossem cumpridas e aplicadas como estão escritas nos artigos muitas vidas não estariam perdidas por falta da conscientização pelo próximo."
"RISCOS DA INTERNET",48,"   Risco da internet  A internet é uma fonte de comunicação muito avançada e perigosa para sociedade.Pois essa comunicação , vem evoluindo muito o acesso e facilidade de aprender. e ter acesso isso nclui os nossos filhos pois desde pequeno elis já tem abelidade  tanto em aparelhos celular,como em computadores e na medida que vão crescendo redobra mas os nossos cuidados e atenção com essa ferramenta : Pois além de ser útil perante sua capacidade de nós ajudar mas também ,não podemos deixar de estar atento no perigo que possa nos causar também de forma coerente para nós adultos e para nossos filhos mas ainda .Pois existe acesso inadequado que nosso filhos por ter abilidade com aparelho consegui acessar ,causado problemas de comportamento sério,que pode vim gerar causas judicial .Vamos ficar atentos em verificar passo há passo o acesso de nossos filhos referente o uso da Internet buscando sempre um diálogo construtivo ao uso desse meio de comunicação,com nossos filhos respeitando seu espaço independente de qualquer idade mas esclarecendo ,os benefícios e o constrangi... mento do mal uso desse aparelho . Atenção virtual pais e filhos ."
"CULTO AO CORPO",68,"A diferença em lidar-se com o exterior                       Atualmente, muito tem-se notado a respeito da valorização excessiva do corpo físico entre as pessoas. Com isso, milhares de pessoas passam grande parte de seu tempo dentro de academia, salas de estética e outros. Entretanto, isso vem se modificando quando refere-se a um simples exercício diário e a competição, em busca de prêmios. Destarte, cabe analisar o que faz dessa uma problemática no mundo atual, analisando os aspectos banal desse e a necessidade de estar sempre bem aparentado.                   Em primeiro lugar, analisa a questão da super valorização do corpo quando relacionado ao ganho de prêmio, vinculado ao pensamento da socióloga Hannah Arendt de ""banalidade do mal"": que quando uma ação ocorre cotidianamente ela deixa de ser vista como errada. Este fato, é notório quando ser fala da supervalorização do estético.                   Em segundo lugar, cabe-se ressaltar a necessidade que encontra-se nas pessoas hoje em dia de estar sempre bem aparentado para terem uma boa autoestima. Diante disso, a pratica de exercícios fora da capacidade do indivíduo acaba sendo uma opção para encontrar a boa a aparência. Porém, muitas vezes estes pode acarretar a problemas de saúde e até mesmo a morte.                   Logo, medidas devem ser tomadas para reverter o quadro atual, de desrespeito com a própria saúde e com o bem estar. Assim, cabe ao estado que forneça palestras, juntamente com psicólogos, que instrua o ser humano a ser mais compreensivo consigo mesmo. Somente assim, será possível encontrar uma sociedade que se preocupe com o seu físico de maneira consciente. "
"CIÚME: VENENO OU REMÉDIO PARA O AMOR? ",60,"Provocados por uma sensação de ameaça, o ciúme, de modo geral, é umas das emoções mais experimentadas pelos seres humanos. outras definições podem ser dadas como existência de uma outra pessoa que seja real ou imaginária. O ciúme envolve três ou mais pessoas, o sujeito ativo do ciúme, aquele que sente; o sujeito passivo, aquele por quem se sente o ciúme; e as pessoas que são a causa do ciúme. é visto pela grande população como que se fosse um tempero da relação amorosa, um sentimento voltado para a companheira ou companheiro uma vez que aquele que ama, cuida, zela, acolhe e respeita.Porem, se analisado minuciosamente, o ciúme é percebido como um sentimento voltado para a própria pessoa que teme a perda de sua companhia.O ciúme se torna patológico quando a desconfiança não tem fundamento, e pode levar as pessoas a praticar atos agressivos e também muitas brigas desnecessárias ao casal gerando muitas das vezes um desconforto muitas das vezes maiores que acaba em termino do relacionamento quando se torna estas ocasiões frequentes;"
"O TRÁGICO PRECEDENTE",0,
"CULTO AO CORPO",62,"  A Constituição Federal de 1988, documento jurídico mais importante do país, prevê, em seu artigo 6°, o direito à saúde como inerente a todo cidadão brasileiro. Embora seja uma conquista, o problema de esgotamento físico de atletas continua presente. Dessa forma, em razão da mídia e da falta mentalidade social, emerge um problema que precisa ser revertido.Primeiramente, é preciso realçar a mídia. De acordo com o filósofo Arthur Schopenhauer, o maior erro que um homem pode cometer é sacrificar a sua saúde a qualquer outra vantagem. Diante disso, podemos observar que a muitos atletas está se esgotando e levando até a morte por conta dos esportes, é podemos ver que a mídia não tem pronunciado à respeito dessas acontecimento.  Como consequência, outra configuração do problema são as mentalidade da sociedade. Segundo o filósofo Mahatma Gandhi, a saúde é resultado não só dos atos como também dos pensamentos dos indivíduos. Sob essa lógica, precisamos mudar os pensamentos dos atletas, pois a várias competições, derrota e vitórias, e com isso eles precisam sempre cuidar da sua saúde física e mental, para sempre fazer bons jogos.  Infere-se, portanto, que algo precisar ser feito com urgência para amenizar a questão. Logo, o Ministério da Saúde, por meio de fiscalização, deve criar medidas de vigilância, contando com médicos e com a população . Nesse sentido, o intuito de tal ação é para que os atletas em situação de esgotamento e de morte por causa dos jogos seja reduzida. Somente assim, esse problema será erradicado. "
SOLIDARIEDADE,52,"SolidariedadeEstamos passando por um período totalmente diferente em nossas vidas, devido ao covi_19!Porém o mais importante é que neste momento tão difícil é que aparece a solidariedade de cada um. Pois devido a essa pandemia mundial aonde está afetando todos nós estamos no mesmo barco, pois não rico nem pobre, preto nem branco, crenças, raças e cor.A humanidade em si descobriu que para todos nós basta ter amor. E esse amor de hoje pode salvar vidas de muitas pessoas. Tanto as que estão mais próximas a nós, quanto as que estão distantes. Aprendemos a ser mais humanos, mais mesmo assim falta muito pra podermos alçar a nossos objetivos! Com tudo isso achamos um jeito diferente de viver. Diferente não pelo fato de passarmos por essa doença, mais sim como estamos lhe dando com ela.Hoje somos mais solidários, mais humanos, porém se somos capazes de ser melhor a cada dia e amarmos cada vez mais,por que não fazer com que possamos acabar com essa doença!!Vimos nos unir! Vamos ser dignos desse dom que Deus nos deu!Que se chama vida!"
"A IMPORTÂNCIA DAS IDEIAS",12,"O ser humano presiza saber diluir as ideias tem q saber q as dores de dente as dores de cabeça as dores do corpo nao sao como a dor da consiensia ea dor das ideias"
"EFICÁCIA DA COMUNICAÇÃO",22,
"A IMPORTANCIA DO CONHECIMENTO ",0,"  No mundo contemporâneo, precisamos aclarar e buscar entender o que significa conhecimento, como instrumentos para atingirmos a verdade e garantimos a liberdade, não apenas como conceitos, mas sim, como experiência de vida e organização da sociedade. O conhecimento é capaz de transformar vidas e, se utilizado devidamente, contribui significativamente para a construção de um mundo melhor.                                                     De acordo com o instituto Brasileiro de Coaching, IBC, o conhecimento é o conjunto de informações que o indivíduo adquire por meio da sua experiência, aprendizagem, crenças, valores e insights sobre algo no decorrer da sua trajetória. com quanto, ao longo da história o ser humano empreende uma jornada que leva ao processo material, as invenções, na busca contínua por condições melhores de vidas.                                               A inquisição, por exemplo, que por séculos fez parte do cristianismo, da hierarquia da Igreja da católica, através de uma visão deturpada da verdade, levou ao sofrimento, à a prisão e à morte centenas de milhares de pessoas, inclusive queimadas vivas, por ousaram pensar de forma diferente. Por isso, a liberdade de pensamento, de pesquisa, de diálogo, de organização, de manifestação, de vinculação dos frutos do conhecimento devem ser um apanágio não apenas da racionalidade individual, mas a base para a construção de uma sociedade justa, humana, sustentável e desenvolvida.             Portanto, saber o que é conhecimento e sua origens não basta para solucionar o problema de teoria do conhecimento, e preciso saber se realmente o homem é capaz de conhecer. Além disso três corrente tentam solucionar essa questão: o Dogmatismo, o Ceticismo e Criticismo."
"DIREITOS SOCIAIS",60," Nos tempos atuais observa-se que tal cenário é bem comum visto pela sociedade em cada ponto de ônibus, pontes, debaixo de arvores , em bancos de praças se encontra um ou vários moradores de rua jogados expostos a chuva, ventos e sol forte com frequência, abandonados pela sociedade deixados de lado e muitas vezes humilhados são, assim leva a vida de inúmeros moradores de ruas sem a ajuda da cidade onde se abriga sem ajuda de governadores e entre outros vivendo em um pais rico de diversidade mas problemático de coração de recursos para essas pessoas. Debate-se muito que essas pessoas tem onde ficar sim que estão ali porque querem mas no entanto os mesmo que falam isso não ajudam e ainda dizem que as prefeituras ajudam disponibilizam-se abrigo, comida, banho e entre outras coisas, mas certamente uma grande metrópole não conseguiria socorrer dezenas de moradores de ruas espalhados assim entra a falta de compaixão pelo próximo deixados e julgados. Entretanto temos um grande capital um rico pais mas visto de dentro vivemos em um pais de alto custo de desemprego de desigualdade com todos, vivemos em um pais onde se torna chacota não ter onde dormir, que ser morador de rua é normal que a família desse mesmo deve ter condições mas não paramos para pensar que a própria família possa ser uma família com baixa renda que também passa por dificuldades e muita das vezes não tem nem o de comer assim como o'que está na rua pois também passa por necessidade, entretanto como podemos olhar para um pais assim e dizer está melhorando pois se tem a falta de moradia a falta de emprego para esses cidadãos.  Uma forma por entanto desse processo melhorar seria a abertura de vagas de emprego para essas pessoas necessitadas mas pelo preconceito de ser um morador de rua nem sempre se consegue, o certo em partes seria o governo programas que venham ajuda de essas pessoas e sua famílias também pois necessitam dessa ajuda, a compaixão das pessoas com esses necessitados também e de inúmera importância, por fim colocação de respeito por eles verbas destinadas a esses moradores. O problema em si é muito difícil de se resolver mas uma parte poderá ser ajudada e assim diminuirá a moradia nas ruas. "
"TRANSFORMAÇÃO DA NATUREZA PELA CIÊNCIA ",0,"               Desdobramento do FeitoA finalidade real da técnica é nós levar ao novo, onde tudo deve ser recriado e reinventado.  O homem faz se aprofundar em desenvolver, buscar a melhora, ressignificar o que já está significado, modificar o que já está pronto e com isso tudo vem a se tornar novo, a ter outro ponto de percepção. Assim levando a novos conceitos e novos começos. O que não é tocado ou manipulado está morto, parado!  Tudo está em constante evolução, quando se questionado e aprofundado algo novo surge, através disso uma nova ideia, dessa nova ideia outra história.  Quando paramos para pensar tudo veio de um questionamento uma mistura causada pelo homem, e com isso estamos vivendo essa evolução contínua."
DEMOCRACIA,68,"Uma sociedade é formada por indivíduos que compartilham dos mesmos anseios, princípios e objetivos. Para alguns, é compreendida pelas ações individuais que se somam, estabelecendo um sistema que necessita de um governo para o dirigir. A partir disso, surgiram inúmeras formas de governo, incluindo a democracia, que significa o exercício do poder pelo povo.Esse modelo de governo surgiu na Grécia Antiga, em que os cidadãos se reuniam em praça pública para solucionarem seus problemas e administrarem a sociedade a partir dos seus próprios interesses. Porém, pelo crescimento das populações, isso não era mais viável, precisando elegerem um representante para tratar dos interesses de todos, igualmente.Com o passar dos anos, esse modelo foi se estabelecendo na maioria das regiões, e com isso surgindo diversos problemas, como a corrupção. Ou seja, a democracia proporciona inúmeras vantagens, desde que bem estabelecida em uma sociedade politicamente esclarecida, que saiba dos seus mecanismos, e civilizada que tenham conhecimento de seus direitos e deveres. No Brasil, a democracia foi estabelecida na Proclamação da República, em que é governado pelos três poderes: legislativo, judiciário e executivo, que são eleitos de quatro em quatro anos pelo voto popular. E como em toda sociedade, possui suas vantagens, mas também as desvantagens, onde o maior problema é a falta de transparência. A partir disso, conclui-se que é um sistema ideal, precisando apenas de alguns reparos. E a mudança dessa problemática se dá pela alteração na estrutura de governo, que foi desmembrado com o aumento do número de cargos comissionados, unificando melhor os ministérios com pessoas qualificadas para determinados setores. "
"EDUCAÇÃO NO BRASIL",68,"O Sistema Educacional Brasileiro   A educação no Brasil é muito desvalorizada, por ser afetada por diversos problemas, como infraestrutura, evasão escolar, analfabetismo, falta de investimentos, dentre outros que refletem de forma cotidiana na educação brasileira.  Esses problemas afetam de forma generalizada o sistema educacional, entretanto, a rede pública é a mais afetada, considerando a falta de investimentos e de adoção de políticas públicas eficazes, que garantam a valorização dos educadores. Outro fator que auxilia a desmotivação dos alunos é o bullying, uma vez que acarreta dificuldades de interrelacionamento, baixa autoestima, distração no aprendizado, além de possíveis distúrbios comportamentais.  A evasão escolar é um dos principais motivos que afeta a educação brasileira, acontece devido a carência de escolas, obrigando o aluno a se deslocar em busca de ensino, e muitas vezes se depara com a falta de transporte, além da falta de qualidade do ensino, necessidade de trabalhar ou desestrutura familiar.  Outrossim, para melhoria da situação da educação brasileira os gestores políticos responsáveis pela educação deverão investir na qualificação e valorização profissional, construção de escolas, incentivo ao aluno, priorizar e acompanhar a tecnologia, de modo a garantir o livre acesso dos estudantes. Para o diagnóstico, enfrentamento e prevenção do bullying, o ambiente escolar deverá contar com a atuação de um psicólogo, garantindo e preservando os diretos fundamentais do aluno, além de direcionar o corpo docente."
"ABAIXO O PRECONCEITO",82,"Em ""Estrelas Além do Tempo"", filme produzido no ano de 2016, é retratada a trajetória de uma equipe de matemáticas negras que desempenharam papel decisivo na NASA - Administração Nacional da Aeronáutica e Espaço - no decorrer da Guerra Fria nos Estados Unidos da América. Lutando por melhores condições de trabalho, esse grupo enfrenta o racismo e as dificuldades do regime de segregação racial, no qual era proibido o uso dos banheiros localizados nos ambientes laborais por essas profissionais. Com o passar do tempo, elas sofrem com a inexistência de oportunidades de ascensão e de promoção de cargos corporativos na instituição devido ao fato de serem mulheres. Entretanto, fora da ficção, o atraso de mentalidade que ainda existe nas manifestações preconceituosas contra a mulher é muito mais complexo do que foi apresentado na obra cinematográfica, principalmente no Brasil, onde, sejam pelas heranças de um sistema patriarcal, ou pelo machismo , os obstáculos presenciados pelo público feminino associados à falta de respeito configuram um grande desafio nacional a ser superado.Em primeira análise, é válido destacar que o patriarcado figura-se como um fator agravante. Isso porque durante a Pré-História -período em que ocorre o surgimento da espécie humana- os indivíduos dividiam as tarefas domésticas para garantirem um convívio pacífico em sociedade. Todavia, as atividades destinas às mulheres eram as de reprodução, amamentação e criação dos filhos, uma vez que os homens acreditavam que elas não possuíam a mesma capacidade física que eles para a execução de ofícios árduos, como a captura de animais selvagens e a construção de instrumentos metálicos. Sob essa perspectiva, esse pensamento de que as pessoas do sexo feminino são frágeis e fracas se perpetua nas gerações, já que ele está inserido na cultura da nação. Nesse contexto, os reflexos de uma tradição que privilegia os seres masculinos são percebidos na atualidade, com a geração de insultos e declarações ofensivas. A exemplo disso, é essencial mencionar uma reportagem divulgada pela revista Istoé, na qual se relata que uma árbitra de futebol foi insultada com comentários maldosos em razão do fato de ser mulher. Consequentemente, a permanência do problema é facilitada. Provavelmente, caso existisse uma ruptura nas crenças patriarcais, esse cenário não seria uma realidade.Em segunda análise, o comportamento que rejeita a igualdade de condições sociais e direitos entre homens e mulheres revela-se como outro empecilho. Nesse sentido, esse fenômeno pode ser explicado pelas atitudes discriminatórias e agressivas direcionadas às mulheres pelos machistas. Dessa forma, as vítimas se tornam suscetíveis a desenvolverem sentimentos negativos e doenças psicológicas, visto que as agressões são frequentes. Ademais, essas circunstâncias podem ser vistas na contemporaneidade, como mostra o longa-metragem ""Dilemas da rede"", no qual a protagonista é alvo de contínuas críticas feitas por usuários masculinos por conta do seu sexo biológico. Por consequência, o agravamento da problemática é concedido. Dessa maneira, é urgente a adoção de medidas para a resolução do impasse.Depreende-se, portanto, que há muito a ser feito para que o conflito seja solucionado. Assim, o Ministério da Educação deve criar campanhas educativas que abordem a importância de desconstruir as ideias preconceituosas remanescentes dos hábitos machistas, por meio da divulgação nas redes sociais, por exemplo, no Instagram e no Facebook, a fim de extinguir o atraso de mentalidade no século XXI. Ao lado disso, cabe às escolas desenvolver programas que discutem os malefícios e o quanto são prejudiciais os atos vindos do machismo. Desse modo, cenas como as do filme ""Estrelas Além do Tempo"" não terão nenhum impacto na comunidade. "
"DIREITOS SOCIAIS",64," Atualmente, a situação que vivem milhares de pessoas é um desafio que atinge a sociedade brasileira. De acordo com uma pesquisa em Março de 2020,através do Instituto de Pesquisa Econômica Aplicada (IPEA), cerca de 221.869 pessoas vivem nas ruas do Brasil. Esse número aumenta muito todos os dias. A situação na qual essas pessoas vivem é simplesmente deplorável. Sem mantimentos, sem conforto e em situação de perigo. No país, as faltas de oportunidades e o preconceito, dificultaram ainda mais a vida desses moradores de rua, que por viverem dessa forma sofrem discriminação.  Com o início da pandemia de Covid-19, milhares de cidadãos tiveram de fechar seus estabelecimentos ou perderam seus empregos, sendo assim a grande maioria perderam suas casas, tendo que viver nas ruas ou vivendo situações precárias. Essas pessoas não tiveram sequer alguma ajuda do governo, fazendo com que a situação se tornasse mais difícil. Isso fez com que além de adultos, crianças também foram trabalhar nas ruas para que pudessem O político Nelson Mandela disse, uma democracia com fome, sem educação e saúde para a maioria é uma concha vazia. É possível dizer que, moradores de rua são imperceptíveis para a sociedade e para os políticos, principalmente, por não terem seus direitos tão cumpridos como deveriam. Nessas circunstâncias, essas pessoas estão submetidas a sofrerem violência física, moral e verbal, além da fome e da falta de recursos básicos. Portanto, o que pode ser feito é reinserir essas pessoas na sociedade novamente. Prefeituras com a ajuda da Secretaria de Direitos Humanos, poderiam oferecer moradias temporárias e ajuda para reintegração no mercado de trabalho. Além disso, o Governo poderia investir em ONGs e na conscientização, por meio de propagandas, para que outras pessoas possam ajudar com doações. Ainda poderia ajudar na educação dos jovens que passariam isso para suas famílias, fazendo com o passar do tempo diminuísse a quantidade de pessoas nas ruas. "
"APARÊNCIA X ESSÊNCIA",74,"      Atualmente, vivemos em uma sociedade moderna das mídias sociais na qual muitas vezes as pessoas utilizam de artifícios para fingirem estar felizes, realizados, alegres e várias outras emoções que na verdade não estão nem perto de sentir tudo para manter a aparência para o mundo exterior da surgi a expressão ""as aparências enganam"". Tal cenário se encaixo no afirmado pelo sociólogo Zygmunt Bauman em seu livro modernidade líquida no qual ele afirma que vivemos em uma modernidade líquida um mundo de incertezas de fragilidade nas relações sociais estão cada vez mais superficiais e sem sentido. Isso acontece, porque com as mídias tecnológicas crescendo cada vez mais nos dias atuais as pessoas tem se sujeitado a esse mundo de mascaras e aparências superficiais para mostrar a tida vida perfeita nas redes sociais e também pela forma que as pessoas vendo cada vez mais a vida das outras ditas felizes nas redes sociais tem colocado a ideia que só seram realmente realizados se alcançarem certo padrão ou mascararem que já estão nele.      Desse modo, a mídia e a indústria das redes sociais atuais tem cada vez mais forte poder de persuasão na sociedade. Eles acabam mexendo com a mente humana impondo padrões de felicidade e de vida por meio de instrumentos de comunicação, como propagandas, ""posts"" nas redes sociais com o dito modelo adequado que as pessoas deve seguir em suas vidas como padrão se tornando muito comuns. As novas formas de trabalho e estilo de vida que vem surgindo com a internet as pessoas tem tentado ao máximo seguir e enganar aqueles ao seu redor e acabam enganando a si mesmos no processo de demonstrarem sentimentos e situações que supostamente estão vivendo mas não são reais.      Além disso, é importante destacar que o conceito de felicidade e de realização do século XXI está envolvido com o quanto dessa suposta felicidade e realização você mostra. Em razão disso, os indivíduos estão cada vez mais alienados as aparências externas e interessados em transmitir que possuem uma dita realidade perfeita para as pessoas de fora, que assim, colocam a ideia que só serão realmente felizes e realizados se fingirem ter alcançado tal estado o que na verdade não passa de uma mascara irreal. Prova de tal situação é um episódio da série da Netflix ""Black Mirror"" em que todos vivem postando vidas que não são reais só para manterem aparências nas redes sociais e ganharem curtidas e não demonstram sua real situação como se fosse algo para se esconder o que no final do episódio gerou bastante infelicidade e desgaste psicológico a personagem principal desse episódio.      Conclui-se, Portanto que vivemos atualmente em uma sociedade em que ""as aparências enganam"" em que muitas vezes as pessoas estampam nos rostos e fingem uma alegria, uma felicidade ou uma situação privilegiada que elas não possuem na verdade somente para manterem essa tão presada aparência. Isso tem afetado diretamente a forma como as pessoas te se relacionado entre si tornando tudo muito superficial e impessoal distanciando as pessoas. Assim, quanto mais as pessoas fingirem que estão felizes consequentemente elas podem desenvolver quadros de desgaste psicológico por conta da auto pressão constante para demonstrarem esse sentimento inexistente em determinado momento ou situação o que é bem negativo para o bem estar das pessoas de modo geral."
"A IMPORTÂNCIA DAS IDEIAS",48,"       Em uma certa tarde você está andando pelo parque descalço e sente que algo perfurou seu pé, então você se senta e retira aquela ferpa ? algo que era incômodo já não é. Você sentiu, foi uma dor, dor-de-causa. Aconteceu!       Muda quando não é algo palpável, quando é apenas o que criamos em nossas mentes, medos do que pode vir a acontecer, não é só uma ferpa, você sabe que doi mas não é uma dor-de-causa e sim uma dor-de-ideia. Onde criamos nos nossos pensamentos situações de dor, do abandono, da rejeição, de não ser bom o suficiente. (?)         Acreditamos que essa história de realidade virtual é algo novo, recente, porém ela nada mas é do que a realidade que criamos, onde a maioria está em uma busca constante de tomar o controle, buscando ajudas alternativas, terapias, psiquiatras, medicamentos? buscando sempre sair um pouco desse mundo que inventamos em nossas mentes, e viver o que está a nossa frente.       Muita das vezes estamos vivendo uma dor-de-ideia que não faz o menor sentindo, porém que nós faz sentir com muita intensidade.    "
"DESTRUIÇÃO DA NATUREZA",56,"Quando o assunto é ameaça à natureza, percebe-se que suas problemáticas têm âmbitos globais. Nesse sentido, tal circunstância promove a necessidade de uma reflexão social sobre seus efeitos para humanidade. Acredita-se que a vida na Terra possa ter seu curso alterado, desde que haja uma harmonia entre o desenvolvimento e a sustentabilidade, evitando a destruição da natureza e preservando a fauna e a flora. Em contrapartida, é necessário leis mais severas e uma maior fiscalização contra o desmatamento e qualquer forma de destruição da Terra. Diante das análises supracitadas, constata-se a necessidade de uma intervenção por partes dos órgãos responsáveis para que futuras gerações tenham uma boa qualidade de vida e recursos naturais necessários para sobrevivência!"
"PERSISTÊNCIA E CONQUISTA ",60,"Certamente, ocorrerão problemas, derrotas em meio a um vasto caminho, mas a persistência e o que faz a diferença, onde se luta constantemente para alcançar um futuro próspero é tão sonhado. Contudo, você precisa ser um diferencial entre um todo com a sociedade, já parou pra pensar no que você faz de diferente dos demais para dar um passo a frente ? Talvez apenas uma atitude e oque falta.  Uma ótima citação e a história do Silvio Santos, quem nunca ouviu falar sobre ele, um garoto de 14 anos que resolveu empreender, vendendo capinhas de título de eleitor, e assim ele fazia todos os dias por 45 minutos, que era o tempo em que os guardas almoçavam. Com 20 anos ele foi pra São Paulo tentar a vida como apresentador de espetáculos e sorteios, sua primeira oportunidade como apresentador foi de locutor de rádio, e hoje ele é um dos maiores apresentadores do Brasil, onde tem 60 anos de profissão na TV, ele é uma inspiração de mascate ele virou dono de um canal de TV.  Então a lição de hoje é, assim como o leão poupou a vida do ratinho, naquele momento de fraqueza, ele foi retribuído de uma forma singela, onde o rato também poupa a sua vida, e lhe ajuda a escapar da rede. Todo trabalho e compensativo quando se tem alguém pra confiar. "
